LF1,LF2,class
1.6656722,-0.912163,beta_3_ab
-0.62028694,2.2403088,beta_5_unbalanced
2.7415867,1.052074,beta_4_balanced
0.18939532,-2.0585744,beta_3_ab
1.3067224,-1.4841958,beta_1_yule
0.7673409,-1.6390917,beta_1_yule
0.34496924,-2.1332269,beta_3_ab
-0.23506287,-2.2238703,beta_3_ab
3.360697,0.585871,beta_4_balanced
-0.98177195,-1.450159,beta_2_pda
1.5290278,-0.6088767,beta_1_yule
-1.431992,1.0240878,beta_5_unbalanced
2.217629,0.40872774,beta_4_balanced
2.1392176,0.55559057,beta_4_balanced
0.96515644,-2.068787,beta_3_ab
-0.3063364,1.9608216,beta_5_unbalanced
-2.1375427,-0.567641,beta_2_pda
-0.21471599,-2.3147407,beta_3_ab
0.2754132,-1.8349382,beta_3_ab
-0.29307893,-1.8536565,beta_3_ab
-2.1973383,-0.8987241,beta_2_pda
-0.78858846,0.89732397,beta_5_unbalanced
-0.3278417,-2.287866,beta_3_ab
2.1925983,-0.6289317,beta_1_yule
-0.5969414,1.078173,beta_5_unbalanced
-0.2028487,1.1229463,beta_5_unbalanced
-0.83157253,0.74153787,beta_5_unbalanced
0.23900981,-2.4338908,beta_3_ab
-0.46155787,-1.8494227,beta_3_ab
-2.1357045,-0.6692604,beta_2_pda
-0.9914833,1.9120189,beta_5_unbalanced
-0.4869261,-1.8493632,beta_3_ab
-0.12871298,-2.006223,beta_3_ab
-1.3105936,-1.4468836,beta_2_pda
-1.9654818,-0.70430136,beta_2_pda
-0.755234,-1.507349,beta_2_pda
3.308196,0.655978,beta_4_balanced
-1.9220396,-0.7011592,beta_2_pda
-1.1081192,1.4898591,beta_5_unbalanced
1.4010663,-1.3429831,beta_3_ab
-0.66229075,1.1702094,beta_5_unbalanced
-0.26678842,-2.2670357,beta_3_ab
-1.2214273,0.76336634,beta_5_unbalanced
1.3186316,-1.4633524,beta_1_yule
1.2863821,-1.4251945,beta_3_ab
0.13846287,-2.0104003,beta_3_ab
1.1658385,-0.8431419,beta_1_yule
2.306783,0.013138823,beta_4_balanced
-0.8018993,-1.164385,beta_3_ab
-1.8156346,-1.4046663,beta_2_pda
-0.6850366,-1.895782,beta_3_ab
0.9690672,-2.1982303,beta_3_ab
-0.3134315,1.8814414,beta_5_unbalanced
0.71158916,-1.7793523,beta_3_ab
-2.1174412,-0.7988486,beta_2_pda
2.9289606,0.09411406,beta_4_balanced
1.9178239,-0.8896943,beta_4_balanced
-1.1622751,1.7225839,beta_5_unbalanced
-0.7610263,1.2648308,beta_5_unbalanced
1.7247336,-1.7094028,beta_1_yule
0.46278232,-1.9502761,beta_3_ab
-0.19325252,-2.175209,beta_3_ab
-1.4873418,-0.6768679,beta_2_pda
1.4703695,-1.5588342,beta_1_yule
-2.085974,-0.43212986,beta_2_pda
2.4607017,0.00835477,beta_4_balanced
3.2621803,0.98054415,beta_4_balanced
-1.2518308,-0.9208432,beta_2_pda
2.434943,0.31568605,beta_4_balanced
-1.0898199,1.3653535,beta_5_unbalanced
1.3031064,-1.4012645,beta_1_yule
-0.8966052,1.3256501,beta_5_unbalanced
-0.517655,1.1464156,beta_5_unbalanced
2.680519,0.9318572,beta_4_balanced
1.1629014,-2.0385358,beta_3_ab
2.0731127,0.20017917,beta_4_balanced
-0.7202616,0.83153033,beta_5_unbalanced
-2.201774,-0.5303106,beta_2_pda
1.5392454,-1.7109467,beta_1_yule
0.94891536,-1.6794896,beta_1_yule
0.7024508,-1.9073043,beta_3_ab
-1.8666614,-0.5060886,beta_2_pda
-0.6433054,1.6501099,beta_5_unbalanced
2.3452518,0.7788686,beta_4_balanced
-0.29318517,1.0880545,beta_5_unbalanced
0.09172011,-2.2699633,beta_3_ab
-0.06286076,-1.4620575,beta_3_ab
-0.008791141,-1.1205999,beta_3_ab
-1.0278194,1.3991709,beta_5_unbalanced
1.8312402,-1.5280194,beta_1_yule
0.21622491,1.7672223,beta_5_unbalanced
2.0702026,-0.4433414,beta_4_balanced
2.0954113,0.33630738,beta_4_balanced
3.3155112,1.1692669,beta_4_balanced
2.8136344,1.2346553,beta_4_balanced
0.5784238,-2.1770535,beta_3_ab
-0.5877211,1.5197227,beta_5_unbalanced
2.4075863,-0.32193178,beta_1_yule
1.2161477,-1.9772046,beta_3_ab
1.5978224,-0.90924734,beta_1_yule
-1.8962594,-1.1550758,beta_2_pda
1.7132329,0.04038101,beta_1_yule
-1.6377975,-0.48882976,beta_2_pda
2.5700068,-0.052363656,beta_4_balanced
0.054664984,-1.9124947,beta_3_ab
-0.6178233,1.1759789,beta_5_unbalanced
-0.8565068,-1.7707098,beta_2_pda
2.193327,-0.34595555,beta_4_balanced
0.13210471,-2.4838946,beta_3_ab
1.5028296,-0.8140818,beta_1_yule
-0.435631,-1.5989869,beta_2_pda
-0.8642551,-1.9672562,beta_2_pda
2.1746607,-0.38786048,beta_1_yule
1.809388,-0.41286427,beta_1_yule
-0.30787432,-2.0175178,beta_3_ab
-0.98658484,1.008542,beta_5_unbalanced
-1.3320147,-1.4128526,beta_2_pda
-1.5831109,-1.4043579,beta_2_pda
-1.5098082,-1.5962664,beta_2_pda
1.4927704,-1.5603434,beta_1_yule
2.7582147,0.52271855,beta_4_balanced
0.3258839,-2.5459254,beta_3_ab
-0.98568964,-1.537725,beta_2_pda
1.8327048,-0.6465648,beta_1_yule
-1.2294542,-1.5035741,beta_2_pda
-0.9870039,-1.4424152,beta_2_pda
-1.5073153,-1.286398,beta_2_pda
-0.2998457,-2.323609,beta_3_ab
2.1948695,1.3496389,beta_4_balanced
0.617705,-1.9410985,beta_3_ab
-1.4340485,-1.0198128,beta_2_pda
0.13705108,-1.9783784,beta_3_ab
2.1780908,-0.8647149,beta_1_yule
-1.629767,-1.352247,beta_2_pda
3.4597013,1.1122357,beta_4_balanced
2.4647017,-0.22730568,beta_1_yule
2.6358597,-0.29044765,beta_4_balanced
2.755008,-0.5390029,beta_4_balanced
-1.3330704,-0.726507,beta_2_pda
2.5493727,0.11459991,beta_4_balanced
-0.27960896,1.5231907,beta_5_unbalanced
-0.29418594,2.2705817,beta_5_unbalanced
-0.4096096,1.4380059,beta_5_unbalanced
-0.47503522,1.2527544,beta_5_unbalanced
-1.286926,1.9556205,beta_5_unbalanced
1.346029,-1.0081005,beta_1_yule
-0.39877734,-2.5656955,beta_3_ab
-0.39934403,-1.5721008,beta_3_ab
1.6748025,-0.95688546,beta_1_yule
2.0919294,-1.0697662,beta_1_yule
-0.27500218,0.7817032,beta_5_unbalanced
2.8500042,-0.1495315,beta_1_yule
0.8152178,-1.9536464,beta_3_ab
-0.6532904,1.5385367,beta_5_unbalanced
2.5765982,0.8078861,beta_4_balanced
1.5676655,-2.1102479,beta_1_yule
2.2041934,0.29931304,beta_1_yule
-0.66845214,0.77745193,beta_5_unbalanced
2.4764676,-0.9308863,beta_1_yule
